DispImage,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316,direction
Images/Moore_4.png,0.414265,1.459365,1.510867,1.179917,0.828928,0.644128,0.493787,2
Images/Moore_5.png,0.411507,1.062658,1.010231,0.816066,0.577278,0.726454,0.678332,2
Images/Moore_2.png,0.445341,1.193911,1.311031,0.561088,0.62663,0.678111,0.594413,2
Images/Moore_0.png,0.442984,1.344853,0.850338,0.694673,0.997544,0.594892,0.561042,2
Images/Moore_3.png,0.415367,1.161496,1.408441,0.760359,1.012726,0.643397,0.565988,2
Images/Moore_2.png,0.394507,1.111312,1.645042,0.427006,0.561569,0.732085,0.542888,2
Images/Moore_3.png,0.394832,1.293819,1.210827,0.814659,0.99485,0.629692,0.596906,2
Images/Moore_4.png,0.445046,0.89627,0.361098,0.477865,1.026985,0.659546,0.679113,2
Images/Moore_1.png,0.460787,0.724958,1.777412,1.06019,0.4723,0.666763,0.693421,2
Images/Moore_0.png,0.447161,0.911177,1.082059,0.631086,0.927042,0.659643,0.629788,2
Images/Moore_5.png,0.427347,0.763886,1.446169,0.679915,0.55485,0.629392,0.609926,2
Images/Hilbert_5.png,0.446185,1.211853,1.558677,0.711905,1.315913,0.645079,0.816159,2
Images/Hilbert_4.png,0.427266,0.778416,1.120606,0.912533,1.060096,0.676806,0.628258,2
Images/Hilbert_1.png,0.426526,0.693284,2.074161,0.659669,0.57925,0.726027,0.576468,2
Images/Hilbert_3.png,0.446787,1.014515,1.148204,0.770559,1.161081,0.58337,0.566402,2
Images/Hilbert_0.png,0.428538,1.095526,0.863633,0.690162,0.595557,0.728488,0.593777,2
Images/Hilbert_1.png,0.427238,1.311301,1.397225,0.679219,1.027965,0.694727,0.613212,2
Images/Hilbert_2.png,0.445483,1.011879,1.012993,0.445369,0.760069,0.595933,0.744111,2
Images/Hilbert_0.png,0.411371,0.911926,1.881171,0.727312,0.431886,0.609615,0.59335,2
Images/Hilbert_3.png,0.394722,0.777373,0.915324,0.695778,0.879438,0.661813,0.729682,2
Images/Hilbert_5.png,0.428779,1.161052,1.544019,0.728056,0.959767,0.609465,0.644428,2
Images/Hilbert_2.png,0.425973,1.02819,1.714327,0.560272,0.428325,0.667023,0.710541,2
Images/Hilbert_4.png,0.565651,1.01102,1.698546,0.798808,0.643733,0.733379,0.663434,2
Images/Fractal_Curves_E5.png,0.326864,1.711573,1.079735,0.82808,1.043974,0.690445,0.748553,2
Images/Fractal_Curves_E4.png,0.462664,0.728291,1.382266,0.577918,0.464903,0.64959,0.663611,2
Images/Fractal_Curves_E1.png,0.430274,1.011626,1.395583,0.777744,1.010722,0.763339,0.661416,2
Images/Fractal_Curves_E2.png,0.429183,0.961013,1.195164,0.929665,0.510766,0.627491,0.660819,2
Images/Fractal_Curves_E2.png,0.42986,0.844344,0.911882,0.511181,0.611176,0.711059,0.726626,2
Images/Fractal_Curves_E0.png,0.398574,0.711178,1.211287,0.640814,0.779445,0.645498,0.912986,2
Images/Fractal_Curves_E3.png,0.410991,1.09438,1.378395,0.777799,0.445476,0.578276,0.63073,2
Images/Fractal_Curves_E1.png,0.360362,1.295096,2.061584,0.593868,1.026669,0.827763,0.611767,2
Images/Fractal_Curves_E5.png,0.39791,1.294338,1.328249,0.780674,0.462399,0.778067,0.695074,2
Images/Fractal_Curves_E3.png,0.409887,0.911529,1.828276,0.510724,0.443887,0.759658,0.628285,2
Images/Fractal_Curves_E4.png,0.412374,0.728331,0.913233,0.528473,1.293772,0.698832,0.611506,2
Images/Fractal_Curves_E0.png,0.394989,0.79723,1.144506,0.760391,0.562614,0.795815,0.728243,2
Images/Fractal_Curves_D5.png,0.427361,0.844631,1.628547,0.814339,1.395402,0.659948,0.595462,2
Images/Fractal_Curves_D0.png,0.411578,1.510867,1.262345,0.494707,0.660942,0.698573,0.713616,2
Images/Fractal_Curves_D1.png,0.426034,0.96275,1.094544,1.695278,0.844843,0.762051,0.960455,2
Images/Fractal_Curves_D5.png,0.430095,2.880381,1.412321,0.960764,0.980853,0.742283,0.766534,2
Images/Fractal_Curves_D2.png,0.444383,1.02757,1.312047,0.925896,0.50952,0.783051,1.312045,2
Images/Fractal_Curves_D2.png,0.363831,0.876994,1.094863,0.747422,0.892843,0.762039,0.575323,2
Images/Fractal_Curves_D3.png,0.379396,0.662716,1.760639,0.796966,1.296643,0.811903,0.666639,2
Images/Fractal_Curves_D4.png,0.42977,1.127882,1.481416,1.213483,0.596734,0.676032,0.543491,2
Images/Fractal_Curves_D1.png,0.416302,0.794378,1.2444,0.747863,0.71192,0.832369,0.577832,2
