DispImage,a,b,c,d,e,f,direction,number
Images/Fern_B12800.png,2.31495,0.778005,0.527172,0.578302,0.775987,0.829594,0,112
Images/Fern_B6400.png,1.251738,0.893788,0.761474,0.562108,0.646514,0.64287,0,113
Images/Fern_B3200.png,0.659033,0.845987,0.678788,0.326999,0.679088,0.63106,0,114
Images/Fern_B1600.png,0.438884,0.977039,0.66102,0.311361,0.66038,0.662922,0,115
Images/Fern_B800.png,0.426505,1.06231,0.844017,0.378505,0.712303,0.612136,0,116
Images/Fern_B400.png,0.644773,1.998725,0.762928,0.359436,0.659324,0.581712,0,117
Images/Fern_B200.png,0.478587,0.928292,0.676809,0.366764,0.663386,0.712617,0,118
Images/Fern_B100.png,0.611469,0.961918,0.629279,0.359598,0.728664,0.675976,0,119
Images/Fern_B0.png,0.745421,0.910905,0.640933,0.396522,0.725716,0.782626,0,120
Images/Pythagoras_A0.png,2.495327,2.661737,0.931391,0.899747,0.764419,0.825686,1,121
Images/Pythagoras_A1.png,5.130095,4.979344,1.027469,0.329584,0.896595,0.714522,1,122
Images/Pythagoras_A2.png,4.812521,3.196173,1.394406,0.326386,0.896414,0.660984,1,123
Images/Pythagoras_A3.png,3.02868,1.411402,0.914258,0.39453,0.961799,0.78395,1,124
Images/Pythagoras_A3.png,4.328416,0.845299,0.57781,0.577262,0.993942,0.642739,0,125
Images/Pythagoras_A2.png,2.593275,0.844402,0.759652,0.427355,0.830534,0.643852,0,126
Images/Pythagoras_A1.png,1.047316,0.745218,0.665624,0.310815,0.859512,0.850413,0,127
Images/Pythagoras_A0.png,0.930856,0.695393,0.829461,0.380637,0.731394,0.661636,0,128
Images/Pythagoras_B0.png,1.027832,0.743478,0.592302,0.495,0.828718,0.826628,1,129
Images/Pythagoras_B1.png,2.961569,1.027993,0.611844,0.360382,0.861882,0.643829,1,130
Images/Pythagoras_B2.png,3.262425,1.430531,0.592133,0.34664,0.876008,0.631649,1,131
Images/Pythagoras_B3.png,5.879341,1.329302,0.56405,0.893283,1.297687,0.628409,1,132
Images/Pythagoras_B3.png,1.710383,0.762296,0.558566,0.328642,0.830568,0.695221,0,133
Images/Pythagoras_B2.png,1.545882,0.745297,0.515035,0.327917,0.798961,0.564721,0,134
Images/Pythagoras_B1.png,0.460635,1.044706,0.512782,0.32719,0.843592,0.715147,0,135
Images/Pythagoras_B0.png,0.698384,0.746473,0.474687,0.378903,0.882939,0.611392,0,136
Images/Sierpinski_A0.png,0.66095,0.211693,0.710074,0.544102,0.761451,0.681826,1,137
Images/Sierpinski_A1.png,0.577196,0.97798,0.665649,0.361407,0.82957,0.760669,1,138
Images/Sierpinski_A2.png,0.87933,0.927438,0.576957,0.325859,0.895892,0.863254,1,139
Images/Sierpinski_A3.png,1.009314,0.744888,0.579208,0.345477,0.879652,0.710279,1,140
Images/Sierpinski_A4.png,2.532563,0.794864,0.62741,0.377691,0.79439,0.646845,1,141
Images/Sierpinski_A4.png,2.210815,1.261497,0.492898,0.694524,0.913347,0.680771,0,142
