DispImage,direction,bc.WRA.0225,cc.WRA.0225,es.WRA.0224,sw.WRA.0221,sw.WRA.0308,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316
Images/Fractal_Curves_D0.png,2,0.712208,0.548588,0.610492,0.743819,0.613689,0.426262,0.810923,1.47709,0.662703,0.628774,0.661228,0.610932
Images/Fractal_Curves_D1.png,2,0.845843,0.493247,0.548866,0.794413,0.614736,0.426034,0.96275,1.094544,1.695278,0.844843,0.762051,0.960455
Images/Fractal_Curves_D1.png,2,3.031968,0.525737,0.877892,0.778127,0.676521,0.416302,0.794378,1.2444,0.747863,0.71192,0.832369,0.577832
Images/Fractal_Curves_D2.png,2,0.87655,0.631276,0.611592,0.979546,0.7959,0.444383,1.02757,1.312047,0.925896,0.50952,0.783051,1.312045
Images/Fractal_Curves_D2.png,2,1.060772,0.529172,0.544271,0.775824,0.846754,0.363831,0.876994,1.094863,0.747422,0.892843,0.762039,0.575323
Images/Fractal_Curves_D3.png,2,0.810787,0.630861,0.662956,1.044539,0.661995,0.379396,0.662716,1.760639,0.796966,1.296643,0.811903,0.666639
Images/Fractal_Curves_D3.png,2,1.045286,0.59368,0.562267,0.911937,0.748971,0.426255,1.37842,1.428769,0.497127,1.113875,0.609388,0.546767
Images/Fractal_Curves_D4.png,2,1.511757,0.578811,0.514014,0.925572,0.74445,0.42977,1.127882,1.481416,1.213483,0.596734,0.676032,0.543491
Images/Fractal_Curves_D4.png,2,2.545703,0.548584,0.912101,0.894204,0.744005,0.415156,1.009785,1.897746,0.83072,1.449457,0.682211,0.812697
Images/Fractal_Curves_D5.png,2,3.531151,0.494594,0.544553,0.833136,0.715811,0.427361,0.844631,1.628547,0.814339,1.395402,0.659948,0.595462
Images/Fractal_Curves_D5.png,2,1.495436,0.89743,0.710855,0.761086,0.710198,0.430095,2.880381,1.412321,0.960764,0.980853,0.742283,0.766534
Images/Fractal_Curves_E0.png,2,0.578943,0.528483,0.796822,0.942944,0.749257,0.398574,0.711178,1.211287,0.640814,0.779445,0.645498,0.912986
Images/Fractal_Curves_E0.png,2,1.227407,1.328727,0.496496,0.778999,0.880396,0.394989,0.79723,1.144506,0.760391,0.562614,0.795815,0.728243
Images/Fractal_Curves_E1.png,2,0.397617,0.642174,0.525768,0.876657,0.743791,0.430274,1.011626,1.395583,0.777744,1.010722,0.763339,0.661416
Images/Fractal_Curves_E1.png,2,3.276973,0.927596,0.459206,0.812746,0.70945,0.360362,1.295096,2.061584,0.593868,1.026669,0.827763,0.611767
Images/Fractal_Curves_E2.png,2,1.729785,0.710429,0.711584,0.743911,0.697805,0.429183,0.961013,1.195164,0.929665,0.510766,0.627491,0.660819
Images/Fractal_Curves_E2.png,2,0.528709,1.061603,0.445194,0.948885,0.796168,0.42986,0.844344,0.911882,0.511181,0.611176,0.711059,0.726626
Images/Fractal_Curves_E3.png,2,1.262847,0.566833,0.411885,0.910894,0.728299,0.410991,1.09438,1.378395,0.777799,0.445476,0.578276,0.63073
Images/Fractal_Curves_E3.png,2,0.963241,0.549252,0.842087,0.713184,0.743215,0.409887,0.911529,1.828276,0.510724,0.443887,0.759658,0.628285
Images/Fractal_Curves_E4.png,2,3.877095,0.710978,1.181864,0.863911,0.745068,0.462664,0.728291,1.382266,0.577918,0.464903,0.64959,0.663611
Images/Fractal_Curves_E4.png,2,0.812339,1.044515,0.596607,0.743317,0.77999,0.412374,0.728331,0.913233,0.528473,1.293772,0.698832,0.611506
Images/Fractal_Curves_E5.png,2,1.99701,0.55489,0.454396,0.865938,0.716428,0.326864,1.711573,1.079735,0.82808,1.043974,0.690445,0.748553
Images/Fractal_Curves_E5.png,2,1.615459,0.711098,0.428517,0.74987,0.579022,0.39791,1.294338,1.328249,0.780674,0.462399,0.778067,0.695074
Images/Hilbert_0.png,2,1.162101,0.760872,0.943214,0.844767,0.69159,0.428538,1.095526,0.863633,0.690162,0.595557,0.728488,0.593777
Images/Hilbert_0.png,2,1.128217,0.895593,0.393055,0.936883,0.735597,0.411371,0.911926,1.881171,0.727312,0.431886,0.609615,0.59335
Images/Hilbert_1.png,2,2.078287,0.633093,0.360941,0.876381,0.732849,0.426526,0.693284,2.074161,0.659669,0.57925,0.726027,0.576468
Images/Hilbert_1.png,2,1.127512,0.698078,0.412924,0.842739,0.709904,0.427238,1.311301,1.397225,0.679219,1.027965,0.694727,0.613212
Images/Hilbert_2.png,2,1.900118,1.070515,0.660406,0.814687,0.612684,0.445483,1.011879,1.012993,0.445369,0.760069,0.595933,0.744111
Images/Hilbert_2.png,2,1.128227,0.824849,0.331348,0.311572,0.826132,0.425973,1.02819,1.714327,0.560272,0.428325,0.667023,0.710541
Images/Hilbert_3.png,2,1.544023,0.6322,0.563158,0.895643,0.667627,0.446787,1.014515,1.148204,0.770559,1.161081,0.58337,0.566402
Images/Hilbert_3.png,2,1.744975,0.710666,0.529884,0.892699,0.643397,0.394722,0.777373,0.915324,0.695778,0.879438,0.661813,0.729682
Images/Hilbert_4.png,2,5.16097,0.894658,0.644824,0.843286,0.81551,0.427266,0.778416,1.120606,0.912533,1.060096,0.676806,0.628258
Images/Hilbert_4.png,2,1.296808,0.677218,0.44418,0.933136,0.609757,0.565651,1.01102,1.698546,0.798808,0.643733,0.733379,0.663434
Images/Hilbert_5.png,2,1.527904,0.604029,0.609499,0.978877,0.709336,0.446185,1.211853,1.558677,0.711905,1.315913,0.645079,0.816159
Images/Hilbert_5.png,2,1.579097,0.626887,0.546184,0.77793,0.631979,0.428779,1.161052,1.544019,0.728056,0.959767,0.609465,0.644428
Images/Moore_0.png,2,0.543839,0.87848,0.527043,0.778108,0.862099,0.442984,1.344853,0.850338,0.694673,0.997544,0.594892,0.561042
