DispImage,g,h,i,j,k,l,m,n,o,p,direction,number
Images/Fern_B12800.png,0.628004,0.4308,1.209143,0.761284,1.061726,0.814937,0.74512,0.516714,0.392514,1.144349,1,63
Images/Fern_B12800.png,0.645583,0.412254,1.348381,0.727022,1.127531,0.993828,0.72754,0.743487,0.382144,0.546418,0,64
Images/Fern_B6400.png,0.592465,0.494141,1.162181,0.777038,0.961559,0.463719,0.542814,0.361473,0.394616,0.692445,0,65
Images/Fern_B3200.png,0.566948,0.382717,1.129414,0.695812,0.977266,0.920679,0.380634,0.395373,0.428399,0.361473,0,66
Images/Fern_B1600.png,0.476048,0.392611,1.243138,0.694749,0.912506,0.411754,0.447209,0.412404,0.394967,0.881774,0,67
Images/Fern_B800.png,0.616495,0.361561,1.178775,0.595352,1.02778,0.453403,0.561804,0.426477,0.394726,0.948055,0,68
Images/Fern_B400.png,0.56091,0.346957,1.261329,0.711124,0.949531,0.565457,0.725238,0.4295,0.376434,0.460191,0,69
Images/Fern_B200.png,0.527338,0.345088,1.261514,0.627739,0.943619,0.460833,0.581521,0.443823,0.410005,0.426477,0,70
Images/Fern_B100.png,0.594635,0.358277,1.077519,0.778632,0.82702,0.510347,0.462128,0.694328,0.377146,1.178831,0,71
Images/Fern_B0.png,0.593965,0.648888,1.26165,0.693049,0.911745,0.743109,0.360252,0.628305,0.397145,0.878415,0,72
Images/Fern_A0.png,0.577371,0.327239,1.528433,0.798842,0.994493,0.749197,0.761017,0.709433,0.458481,0.693479,1,73
Images/Fern_A100.png,0.544461,0.366128,1.128631,0.727127,0.962567,0.928024,0.849323,0.464533,0.413337,0.411151,1,74
Images/Fern_A200.png,0.529378,0.311387,1.177891,0.760115,0.909764,0.444797,0.593712,0.411508,0.381997,1.196634,1,75
Images/Fern_A400.png,0.575578,0.343686,1.194999,0.698248,0.963168,0.544482,0.546612,0.380614,0.444751,0.993475,1,76
Images/Fern_A800.png,0.56513,0.311087,1.159878,0.693799,0.794118,0.527757,0.479719,0.46153,0.378702,0.477987,1,77
Images/Fern_A1600.png,0.545219,0.294267,1.178653,0.666083,0.861837,0.510559,0.447224,0.429057,0.391303,0.42818,1,78
Images/Fern_A3200.png,0.593744,0.328606,1.146499,0.593093,0.877958,0.545366,0.496719,0.52765,0.394538,0.911974,1,79
Images/Fern_A6400.png,0.577301,0.327554,1.077141,0.658879,0.828685,0.710603,0.463836,0.52834,0.411587,1.009165,1,80
Images/Fern_A12800.png,0.616199,0.332585,0.929594,0.581428,0.827114,0.427645,0.51284,0.478319,0.394465,0.476787,1,81
Images/Fern_A12800.png,0.560421,0.397398,1.093847,0.878143,1.078273,1.045422,0.896823,0.712476,0.458502,0.461614,0,82
Images/Fern_A6400.png,0.612398,0.411204,1.028456,0.725925,0.861205,0.510394,0.512877,0.394292,0.381894,1.095272,0,83
Images/Fern_A3200.png,0.494275,0.427216,0.927819,0.61716,0.844359,0.477916,0.430479,0.428004,0.395168,0.626333,0,84
Images/Fern_A1600.png,0.592974,0.34316,1.062586,0.64441,0.828218,0.477691,0.56451,0.426395,0.411709,0.482866,0,85
Images/Fern_A800.png,0.579532,0.432849,0.977352,0.592793,0.711969,0.460887,0.446168,0.430191,0.362137,0.411181,0,86
Images/Fern_A400.png,0.615483,0.493921,0.935158,0.664791,0.84481,0.462914,0.494473,0.411707,0.410982,1.211102,0,87
Images/Fern_A200.png,0.547384,0.360127,0.880758,0.579534,0.711043,0.728208,0.495541,0.447697,0.394684,0.928561,0,88
Images/Fern_A100.png,0.664306,0.377296,0.861213,0.547039,0.678539,0.508657,0.494774,0.669472,0.396013,0.44415,0,89
Images/Fern_A0.png,0.614169,0.532539,1.191626,0.629757,0.992812,0.84957,0.828584,0.514162,0.410344,0.494944,0,90
Images/Moore_0.png,0.630418,0.413432,0.998979,0.877165,0.769896,1.027008,0.960974,0.839662,0.395723,1.030291,1,91
Images/Moore_1.png,0.628594,0.343161,0.81185,0.810636,1.009025,0.613342,1.094913,0.745811,0.428001,0.963905,1,92
Images/Moore_2.png,0.544657,0.347196,1.045,0.748387,1.044629,0.747142,0.812666,0.46224,0.392804,0.860907,1,93
Images/Moore_3.png,0.615555,0.328027,1.011091,0.69514,1.062102,0.629777,0.677093,0.460529,0.398497,0.428787,1,94
Images/Moore_4.png,0.581526,0.310924,1.091212,0.677876,0.977558,0.663261,0.926381,0.644968,0.376565,1.112435,1,95
Images/Moore_5.png,0.774676,0.411952,1.429564,0.693766,1.010877,0.896681,1.281501,0.628582,0.37702,0.849324,1,96
Images/Moore_5.png,0.548793,0.51147,1.31065,0.630476,0.895553,0.496628,1.162345,0.708993,0.381809,0.748773,0,97
Images/Moore_4.png,0.611876,0.376197,1.228132,0.594939,0.976804,0.530862,0.444613,0.416214,0.377156,0.565628,0,98
Images/Moore_3.png,0.611461,0.331926,1.077858,0.594629,0.965238,0.595958,0.493853,0.427807,0.37791,0.911124,0,99
Images/Moore_2.png,0.629414,0.377319,0.912682,0.628988,0.725607,0.513449,0.444833,0.561922,0.395592,1.028114,0,100
Images/Moore_1.png,0.575898,0.343181,0.87733,0.811988,0.597389,0.713743,0.727059,0.495045,0.409823,0.5115,0,101
Images/Moore_0.png,0.630653,0.365561,1.094883,0.610579,0.627338,0.511416,0.762699,0.545308,0.410778,0.51001,0,102
Images/Hilbert_0.png,0.663318,0.36205,1.028458,0.778731,0.627639,0.781802,1.07757,0.728031,0.395257,1.011387,1,103
Images/Hilbert_1.png,0.5929,0.325693,0.928464,0.726384,0.73194,0.5276,1.295271,0.495008,0.361447,0.764142,1,104
Images/Hilbert_2.png,0.649684,0.347996,0.960405,0.63062,0.893661,0.727714,0.87774,0.37828,0.410278,0.494987,1,105
Images/Hilbert_3.png,0.610609,0.362605,0.945524,0.746383,0.812506,0.894899,1.428051,0.525311,0.380702,0.562346,1,106
Images/Hilbert_4.png,0.561759,0.343311,0.980362,0.917054,0.811313,0.611314,1.477908,0.36602,0.412702,0.845154,1,107
Images/Hilbert_5.png,0.661358,0.448142,1.044221,0.807713,0.641451,0.910481,0.71137,0.392933,0.396715,1.048595,1,108
Images/Hilbert_5.png,0.760688,0.460202,1.077236,0.763691,0.760669,0.614763,0.559998,0.727291,0.386755,0.509181,0,109
Images/Hilbert_4.png,0.644507,0.511307,1.078101,0.746499,0.831829,0.677668,0.512228,0.411304,0.395495,0.360651,0,110
Images/Hilbert_3.png,0.71272,0.514027,0.877424,0.646727,1.062122,0.927442,1.211486,0.40916,0.380104,0.805737,0,111
Images/Hilbert_2.png,0.645045,0.545836,1.012079,0.713336,0.845665,0.609781,1.678135,0.399038,0.358345,1.030006,0,112
